id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
1,0,3,2,0,69,2,1,0,0,0.13809525,0.04172877,40476,4334.1846,0,56.6,1,1,1,2,0,0,1,0,0,0,0,0,0.53636509
2,1,3,1,0,43,1,1,0,0,0.26348418,0.0167754,44654,2907.3462,1,56.4,1,0,0,9,0,1,0,0,0,0,1,0,0.52537882
3,,1,7,1,52,1,0.16783217,0,0.8321678,0,0,40703,2.1623416,0,57.2,0,1,1,7,0,0,0,0,1,0,1,0,0.73758805
4,,1,3,1,38,5,0.16783217,0,0.8321678,0,0,40703,2.1623416,1,53.5,0,0,1,3,0,1,0,0,0,0,0,1,0.45513716
5,1,3,2,1,60,1,1,0,0,0.17770491,0.05022831,54333,3302.7517,1,58.8,1,0,0,4,0,0,0,0,0,0,0,0,0.57126123
6,0,2,8,1,37,5,0,0.69512546,0.30487454,0.07888839,0.08483853,53710,15.003167,0,38.2,0,0,1,5,0,0,0,0,0,0,0,0,0.3794795
7,1,3,5,0,60,1,1,0,0,0.13766892,0.08141593,39792,3265.4736,0,60.1,0,0,0,3,0,0,0,0,0,0,0,0,0.54061329
8,1,3,9,1,53,1,1,0,0,0.13048017,0.04347826,71136,2186.5371,0,50.6,0,0,1,7,0,0,0,0,0,0,0,0,0.5262866
9,1,2,1,1,60,1,1,0,0,0.17647059,0.0407701,56875,2780.0176,0,50.3,0,0,1,6,0,0,0,0,0,0,0,0,0.56399798
10,,2,6,1,60,2,0,0.71428573,0.2857143,0.00710339,0.06035889,33015,173.9745,0,40.1,0,1,0,6,0,1,0,0,0,0,0,0,0.43609288
11,,3,2,0,47,5,1,0,0,0.12830189,0.05440313,59219,1981.5338,0,66.1,0,0,0,5,1,0,0,0,1,0,0,0,0.76483577
12,0,1,3,0,67,2,0.16783217,0,0.8321678,0,0,40703,2.1623416,0,53.3,1,0,0,10,0,1,0,0,0,0,0,0,0.37354439
13,1,1,2,1,79,1,1,0,0,0.23501997,0.05130513,72908,1144.8127,0,49.8,0,0,0,8,0,0,1,0,0,1,0,0,0.50824779
14,0,2,3,1,79,2,0,1,0,0.10134129,0.01470588,36250,583.474,0,35.8,0,0,1,3,0,1,0,0,0,0,0,1,0.41712397
15,0,3,2,1,66,2,1,0,0,0.18207283,0.01340996,101537,852.70941,0,36.1,0,1,0,4,0,0,0,0,0,0,0,0,0.43044698
16,,2,6,1,55,2,0.316286,0,0.68371397,0.23398329,0.00666667,86621,110.79535,0,38,0,0,0,3,0,0,0,0,0,0,0,0,0.33877096
17,0,3,8,0,71,2,1,0,0,0.31391585,0,79578,258.94427,0,56.1,0,0,0,6,0,0,0,0,0,0,0,1,0.41220421
18,1,3,2,1,79,1,0.16709845,0,0.83290154,0.07322326,0.04985479,50625,2.4796009,0,61.8,0,0,1,5,0,0,0,0,0,0,0,0,0.41046706
19,,3,4,1,67,2,0.80969954,0,0.19030048,0.19417475,0.01022727,89497,117.30749,0,37.8,0,0,0,7,0,0,0,0,0,0,0,0,0.4258779
20,1,1,4,1,77,1,1,0,0,0.26243901,0.11891892,87009,1420.9951,0,53,0,0,0,2,0,0,0,0,0,0,0,0,0.46501496
21,1,3,1,0,22,2,1,0,0,0.16465864,0,101164,2469.3804,0,51.3,0,1,0,5,0,0,0,0,0,0,0,0,0.37171194
22,0,2,3,1,51,2,0,0,1,0.13735047,0.04720812,65367,5.7551379,0,27.8,0,0,1,1,0,0,0,0,0,0,0,0,0.34148601
23,0,2,5,0,69,2,1,0,0,0.14548023,0.05747126,59219,592.27551,0,46.2,0,0,0,1,0,0,0,0,0,0,0,0,0.48027527
24,0,1,2,1,64,2,1,0,0,0.03794212,0.10088781,41466,3978.4758,0,68.6,0,0,0,2,0,0,0,0,0,0,0,1,0.61337596
25,1,2,6,0,38,1,0.6796875,0,0.3203125,0.24393204,0.00665779,78056,200.50284,0,47.9,0,1,1,4,0,1,0,0,0,0,0,0,0.36556712
26,0,2,9,1,53,2,0,1,0,0.10521141,0.03363914,35433,503.5957,0,44.3,0,0,1,7,0,0,0,0,0,0,0,0,0.42641234
